TEAM,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,TOR,ORB,FTR,2P_O,3P_O,YEAR
North Carolina St.,36,24,112.4,97.5,0.8368,52,17.3,36,28.5,51.6,35.2,2019
Notre Dame,33,14,107.3,99.8,0.6981,46.2,14,29,30.1,45.4,31.5,2019
Pittsburgh,33,14,103.3,98.2,0.6421,47.9,19.6,32.1,42.3,46.9,33.1,2019
Wake Forest,31,11,103.5,103.2,0.5087,44.8,19.4,33.9,37.6,44.1,30.8,2019
Binghamton,30,5,91.4,109.2,0.1151,44.6,21.6,26.2,39.8,43.9,30.6,2015
Hartford,29,13,95.2,105.4,0.2371,47.3,19,25.3,29.8,46,32.5,2015
Maine,30,3,92.3,113.3,0.0863,46.7,21.6,23.5,27.7,45.5,32.6,2015
New Hampshire,30,17,98.4,101,0.4249,49.7,18.7,27.2,36.1,45.9,37.4,2015
Stony Brook,33,21,99.9,98.1,0.5521,46,18.6,37.1,32.4,45.1,32.1,2015
UMass Lowell,28,11,91.6,107.2,0.1412,47.9,20.5,21.6,34.3,44.6,34.9,2015
UMBC,30,4,87,108.6,0.0727,46.3,24.1,23.5,37.2,45,32.6,2015
Vermont,33,19,100.7,97.6,0.5879,51.9,20.1,26.7,42.4,51.7,34.9,2015
Albany,32,23,104.7,102.1,0.5703,50.7,18.4,34.8,43.3,51.8,32.3,2016
Binghamton,30,8,89.3,102.1,0.1763,44.1,20.7,25.3,36.2,45,28.4,2016
Hartford,32,9,99.4,114.2,0.1685,49.1,16.3,18.9,33.2,45.6,35.4,2016
Maine,30,8,94.5,113.6,0.1081,49.2,20.8,27.9,32,48.3,33.9,2016
New Hampshire,31,18,98.7,104.5,0.3402,46.7,16.8,29.5,36.6,45,33.2,2016
UMass Lowell,28,10,99.4,115,0.1581,53.6,21.3,25.1,33.2,53.2,36.2,2016
UMBC,32,7,98.6,117.3,0.1193,50.1,17.4,24.9,42.2,50.4,33.1,2016
Vermont,36,22,107.3,105.8,0.5414,54.1,19.2,28.5,38.2,52.6,38.2,2016
Albany,34,21,107.1,103.7,0.5911,51.7,18.3,33,33.4,50.3,37.1,2017
Binghamton,29,12,94.8,109.5,0.1598,48.8,18.6,23.5,30.8,47.1,34.4,2017
Hartford,32,9,92.1,109.9,0.1165,47.5,20.4,24.7,32.6,45,33.9,2017
Maine,31,7,90.5,109.4,0.1021,45.5,19.1,26.9,29.6,44.8,31.2,2017
New Hampshire,29,20,100.6,102.3,0.4538,50.2,18.3,27.2,34.1,49.5,34.2,2017
Stony Brook,32,18,100,104.7,0.3695,47.1,15.2,29.5,32.8,45.7,32.7,2017
UMass Lowell,30,11,102.9,115.4,0.2112,54.7,20.8,27.1,31.5,53.1,38.4,2017
UMBC,32,21,107.5,110.2,0.4291,54,16.3,24.4,35,51.5,38.5,2017
Albany,31,22,106.1,104.8,0.5371,50.5,17.5,34.6,37,48.7,36.8,2018
Binghamton,29,11,96.1,108.2,0.203,49.7,18.3,25.9,30,48.1,34.8,2018
Hartford,32,19,101.8,107,0.3602,52.7,18.1,24.9,31.2,53.6,34.4,2018
Maine,30,6,91,107.2,0.1328,46,21.8,25.5,29.2,47.1,29.6,2018
New Hampshire,29,10,98,107,0.2671,46.3,17.4,28.4,30.5,44.3,32.6,2018
Stony Brook,31,13,96.1,100.9,0.3652,47.9,20,30.5,32,47.5,32.2,2018
UMass Lowell,29,12,103.5,113.7,0.2528,52.1,18.7,26.3,39.2,52.4,34.4,2018
Vermont,34,27,110.7,103.8,0.6759,55.9,16.9,26,41.8,53.8,39.9,2018
Albany,31,12,97.9,106.8,0.2683,49.3,20.9,27.3,32.5,46.9,34.8,2019
Binghamton,31,10,95.9,112.3,0.1407,49.5,18.5,20.9,24.3,48.4,33.9,2019
Hartford,32,18,106.8,110.7,0.3988,54.2,17.8,25.3,33.1,51.5,38.2,2019
Maine,31,5,93,110.9,0.1163,48.6,22.2,25.9,25.6,49.9,31,2019
New Hampshire,27,5,83.7,106.1,0.0613,44,18.4,21.5,21.9,39.4,32.6,2019
Stony Brook,32,24,97.5,99.6,0.4407,48.1,20.7,33.2,35.4,47.7,32.6,2019
UMass Lowell,30,15,101.7,112.7,0.2345,53.7,19.6,27,34.1,55.1,34.3,2019
UMBC,31,21,94.8,101.3,0.3181,48.4,18.3,24.5,31.1,49.5,31.3,2019
Connecticut,35,20,105.3,97.4,0.7109,50,18.6,30.2,32.3,48.4,35.4,2015
East Carolina,31,12,102.2,106.1,0.393,48.4,18,28.2,29.9,45.2,35.6,2015
Houston,32,13,100.9,102.3,0.4593,46.5,20.5,33.6,31.5,45.2,32,2015
Memphis,32,18,104.7,95.1,0.7509,48.4,20.2,37,31.6,48.1,32.8,2015
South Florida,31,8,97.2,105.4,0.2812,47.3,20.9,31.3,31.6,47.7,30.9,2015
Temple,37,26,104.3,92.3,0.8029,44.2,14.6,31.8,35.6,43.4,30.4,2015
Tulane,30,14,97.6,101.8,0.3809,46.4,19.9,32.6,34.7,45.5,32,2015
Tulsa,33,23,100.6,92.9,0.716,47.1,17.7,30.8,41.4,46.5,32.3,2015
UCF,29,11,101,109.4,0.2852,49.1,19.7,30.7,35.1,47.6,34.5,2015
East Carolina,32,12,102.3,104.2,0.4472,49,19.4,28.8,34.6,47.8,33.9,2016
Houston,32,22,116.2,104.6,0.7703,52.2,15.4,35.8,34.4,52.1,34.8,2016
Memphis,34,19,105.9,96.4,0.7464,46.1,16.4,32.4,41.9,45.1,32.4,2016
SMU,30,25,117.2,97.1,0.8974,55.3,18.8,41.2,33.8,52.5,42,2016
South Florida,33,8,97.6,103.8,0.3312,45.4,21.9,34.6,33,46.2,28.6,2016
Tulane,34,13,96.8,99.9,0.4118,45.4,19.5,32.1,31.3,45.5,30.1,2016
UCF,30,12,99.9,102.1,0.4376,49.2,21.3,31.3,37.2,50.1,31.8,2016
Connecticut,32,16,105.6,98.3,0.6937,48.5,18.7,29.9,34.5,46.1,35.4,2017
East Carolina,33,15,96.6,97.1,0.4843,45.8,20.8,30.7,37.4,44.5,32,2017
Houston,32,22,112.8,98.1,0.8333,51.7,14.9,31.8,28.6,47.7,39.4,2017
Memphis,32,19,105.8,100.5,0.6442,48.9,16.3,31.6,36.7,51.1,29.5,2017
South Florida,30,7,96.5,106.2,0.2504,47.7,23.5,30.6,30.7,45.9,34.6,2017
Temple,32,16,107.9,102.4,0.6461,49.7,16.6,27.5,26.4,47,35.6,2017
Tulane,31,6,103.3,106.5,0.4129,46.4,18.8,29.3,34.3,45.2,32.4,2017
Tulsa,32,15,103.7,102.3,0.5395,48.9,21.8,29.5,42.8,47.2,34.3,2017
UCF,36,24,103.8,92.1,0.7975,50.4,22,32.6,39.9,48.9,35.2,2017
Connecticut,32,14,104.1,105.8,0.4549,47.5,18.5,29.4,32.4,46.6,32.6,2018
East Carolina,30,10,96.2,108.7,0.1968,48.3,20.6,27.8,28.7,49.6,30.5,2018
Memphis,34,21,107.6,106,0.5439,50.7,20.4,35.1,43.6,52.3,31.7,2018
SMU,33,17,107.6,99.8,0.7041,52,18,32.7,30.5,48.7,37.9,2018
South Florida,32,10,98.9,107.6,0.2749,48,21.4,28.8,33.1,44.8,36.1,2018
Temple,33,17,107.4,99.3,0.7113,49.3,15.9,27.7,25.6,47.2,35,2018
Tulane,31,14,105.4,106.2,0.4774,51.5,18.8,27.5,34.5,50.9,35,2018
Tulsa,31,19,108.5,101.4,0.6853,50.7,18.6,32,41.6,49.7,34.7,2018
UCF,32,19,97.4,93.5,0.6165,47.8,20.7,28.5,43.1,47.1,32.9,2018
Connecticut,33,16,107.8,101,0.6797,51,18.5,32.3,32.7,50.7,34.4,2019
East Carolina,31,10,98.8,105.2,0.3273,46.1,19,28.2,35.6,47.7,28.4,2019
Memphis,36,22,108.1,96,0.7973,51,19.8,33.4,37.3,52.5,32.2,2019
SMU,32,15,112.2,104.2,0.7021,51.2,16.6,33.4,27.8,51.3,34.1,2019
South Florida,37,24,101.8,95.4,0.6778,49.1,22.6,36.3,48.1,48.5,33.3,2019
Tulane,31,4,97,105,0.2856,47.1,21,27,32.8,46.7,31.8,2019
Tulsa,32,18,104.8,99.2,0.6507,51.2,18,23,43.4,51.3,34,2019
Wichita St.,37,22,106.5,94.7,0.7946,46.9,17.4,32.5,28.8,47.1,31,2019
Florida Gulf Coast,30,19,99.4,102,0.4261,48.2,17.7,34.4,33.1,47,33.9,2015
Jacksonville,29,7,95.6,114.9,0.1067,46.6,18.6,27.7,39.3,43.1,35.8,2015
Kennesaw St.,30,8,91.3,113.1,0.0782,45.3,21.3,29.6,29.8,44.1,31.5,2015
Lipscomb,28,11,98,110.6,0.1987,48.1,18.7,29.2,39.7,47.5,32.6,2015
Northern Kentucky,28,11,102.4,108.7,0.3348,51.2,17.8,28.5,30,51.9,33.4,2015
Stetson,28,6,93.9,114.3,0.0942,48.1,18.3,26.1,34.1,48.3,31.8,2015
USC Upstate,32,20,102,103.1,0.4677,49.5,16.9,35.2,30.4,49.2,33.2,2015
Jacksonville,28,12,100.3,108.4,0.2895,49.7,15.4,27,31.4,45,38.9,2016
Kennesaw St.,29,9,100.7,107.9,0.3109,48.7,18.5,28.3,33.5,47.2,35.1,2016
Lipscomb,31,10,101.5,109.1,0.3032,51.5,18.6,26.9,34.7,50.5,35.2,2016
NJIT,34,19,100.7,104.6,0.3919,51.8,18.2,26.8,33.7,51.1,35.1,2016
North Florida,31,19,113.5,113.1,0.5103,57.9,15.3,24.1,28.7,54.7,40.9,2016
Stetson,30,8,103,113.7,0.2436,51.2,16.8,25.2,33.8,49.4,36.2,2016
USC Upstate,28,7,100,114.3,0.1782,50.1,20.2,33.1,30.9,48.4,35.7,2016
Jacksonville,29,17,100.3,111.2,0.2332,53.8,18.5,26.3,34.6,50.4,38.8,2017
Kennesaw St.,30,14,100.9,109.3,0.2848,51.3,18.9,31.1,30.6,47.7,41.2,2017
Lipscomb,30,20,106.3,106.3,0.4995,55,20.1,28.3,41.2,55.7,36,2017
NJIT,29,11,98,109.3,0.2211,48.7,19.7,30.5,33.3,47.7,33.4,2017
North Florida,30,15,100.7,108.6,0.2957,51.3,22.2,33.3,34.9,50.7,34.7,2017
Stetson,29,11,99.3,114.2,0.1659,49.9,14.9,21.1,32.6,49.9,33.4,2017
USC Upstate,29,17,102.1,111.5,0.2665,52.4,17.9,30.2,31.9,52.8,34.6,2017
Florida Gulf Coast,32,23,105.8,103.2,0.5707,55.3,19.5,31.3,33.4,54.9,37.3,2018
Jacksonville,29,15,93.6,107.9,0.1636,49,19.2,25.9,30,48.8,33,2018
Kennesaw St.,28,10,98.3,111.9,0.1845,49.4,19.2,29.6,35,47.5,36.9,2018
NJIT,28,14,99.1,105,0.341,49.8,18.5,30,32.9,48.1,35.3,2018
North Florida,30,14,107.1,117.9,0.2496,53.6,19.3,25,27.7,51.5,37.5,2018
Stetson,28,12,97.8,111.3,0.1841,48.9,14.9,23.2,25,48.7,32.9,2018
USC Upstate,28,7,105.1,123,0.1413,50.1,16.1,27,21.6,49.3,34.1,2018
Florida Gulf Coast,30,14,99.9,104.8,0.3675,52.6,21.2,25.6,31.9,50.7,36.9,2019
Jacksonville,30,12,97,106.3,0.2581,49.6,19.9,28.3,30.5,51,31.2,2019
Kennesaw St.,30,5,91.2,108.9,0.1151,40.9,19,29.2,30.1,39.1,31.4,2019
Lipscomb,35,29,110.2,98.1,0.7929,54.8,17.8,26,36.3,53.8,37.5,2019
NJIT,34,22,99.7,103.6,0.3896,50.7,17.1,21.9,38.4,49.8,34.8,2019
North Alabama,29,10,94.1,104.8,0.2256,44.5,19.3,27.3,30.8,44.4,29.7,2019
North Florida,31,16,102.5,103.8,0.4632,52.1,21.8,29.4,25.3,53.2,33.9,2019
Stetson,29,7,96,112.6,0.1379,45.5,17.5,27.9,25,45,31,2019
Illinois,33,19,107.1,94.4,0.8103,47.6,15.2,30.2,31.2,44.4,35.5,2015
Michigan,31,15,110.9,97.1,0.8226,49.4,15.6,25.5,26.6,47,35.3,2015
Minnesota,32,17,111.2,97.6,0.8176,52.1,17.7,30,32.9,50.1,37.2,2015
Nebraska,31,13,98.5,93.2,0.6543,46.2,19.4,26.7,36.5,48,28.4,2015
Northwestern,32,15,105.7,100.8,0.6322,50.4,18.1,27.6,28.6,48.3,35.9,2015
Penn St.,34,18,103.9,93.9,0.7617,48,18.2,29.7,34.7,46.8,33.4,2015
Rutgers,32,10,96.4,98,0.4539,43.6,20.1,30.5,32.6,43.3,29.5,2015
Illinois,34,15,105.5,102,0.5959,50.2,14.9,21.5,30.5,47.5,36.3,2016
Minnesota,31,8,99.6,102.9,0.4079,45.9,16.5,26.5,37.1,45.6,31,2016
Nebraska,34,16,109,100.7,0.7133,50.3,17.4,31.8,32.6,49.4,34.7,2016
Northwestern,32,20,109.8,99.2,0.7618,52.5,15.8,30.5,28.4,51.6,35.8,2016
Ohio St.,35,21,105.6,96.7,0.735,49.4,18.8,30.2,36,49,33.4,2016
Penn St.,32,16,101.3,99.7,0.5465,46.6,16.9,28.7,34.5,45.9,31.7,2016
Rutgers,31,6,97.5,106.7,0.261,45.8,18.9,25.3,34.5,44.9,32.2,2016
Illinois,34,20,105.1,95.3,0.7555,50.6,18.3,28.6,32.5,48.5,36.1,2017
Indiana,34,18,115.4,99.9,0.8408,55.2,21.4,36.4,34.1,54.1,38,2017
Iowa,34,19,112.6,101,0.779,52.5,18.6,31.8,34.9,49.9,37.9,2017
Nebraska,30,12,104.6,98.4,0.668,46,18.6,33.7,30,45.3,31.8,2017
Ohio St.,32,17,111.2,99.4,0.7844,52.2,19.2,29.7,38.1,51.6,35.6,2017
